num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,2438.423096,48,2353.02,9.6121,8.7077,2.2395
2,3634.487061,48,3546.9,13.925,8.0473,2.2426
4,5937.415527,49,5818.91,22.644,7.0508,2.3309
8,10537.976562,48,10421.4,42.827,7.0167,2.2574
16,20068.142578,49,19906.5,85.072,8.3753,2.3189
32,37483.550781,48,37232.7,175.08,8.6509,2.2476
64,69043.367188,49,68744.7,216.93,8.7062,2.2193
128,123689.390625,49,123264,349.33,8.7154,2.2915
256,234661.9375,53,233952,612.39,8.9098,2.2958
512,460852.3125,52,459711,1040.69,8.9299,2.2587
1024,932779.125,53,930988,1695.79,8.8892,2.2627
2048,1669813.75,48,1700000,2276.23,8.6503,2.2021
4096,2931101.75,52,2900000,3497.9,8.9964,2.2963
8192,5145215,53,5100000,5835.9,8.8119,2.2773
