num_vertices_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,235.264679,8,215.49,1.7044,0.45862,0.17357
2,358.237213,8,337.04,3.2197,0.45875,0.17187
4,586.488037,8,561.71,5.9833,0.46006,0.17024
8,950.580078,8,920.58,11.647,0.45792,0.17069
16,1638.388672,8,1605.2,14.105,0.45827,0.26726
32,2799.113037,8,2763.37,21.328,0.4583,0.26777
64,5126.76709,8,5074.22,33.486,0.45846,0.17091
128,10085.306641,8,10015.3,56.36,0.45932,0.16877
256,19883.091797,8,19766.3,102.54,0.45856,0.17008
512,35892.554688,8,35674.4,180.2,0.46057,0.16861
1024,62851.789062,8,35674.4,297.43,0.45862,0.16937
2048,106125.726562,8,35674.4,470.83,0.45862,0.16912
4096,174016.1875,8,35674.4,703.85,0.45856,0.16858
8192,291437.21875,8,35674.4,1018.71,0.45859,0.16941
