num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,3118.597412,100,2983,8.6625,7.0505,2.3771
2,4886.901855,96,4756.12,8.0525,6.1291,2.3671
4,6892.283691,99,6752.93,9.0368,6.9688,2.4613
8,12176.290039,96,12035.1,16.14,7.3726,2.5228
16,22249.138672,98,22090.1,31.497,8.3657,2.4555
32,42373.785156,99,42179.6,65.313,8.4923,2.5018
64,79863.46875,100,79602.9,130.98,8.6711,2.3416
128,146297.65625,99,146010,159.82,8.7269,2.367
256,271373,100,271002,239.77,8.2831,2.3362
512,545671.875,107,545116,414.42,8.8807,2.3485
1024,1064477.5,104,1100000,674.59,9.3868,2.4122
2048,2143417,104,2100000,1120.32,9.2422,2.3495
4096,3957255.25,104,4000000,1598.66,9.3849,2.2963
8192,7182183,302,7200000,2518.09,9.3612,2.338
