num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,1190.557129,43,1129.66,2.8956,2.7742,1.1522
2,1837.429932,43,1775.84,4.2461,2.7905,1.1591
4,2889.024902,42,2823.27,7.2657,3.7766,1.1521
8,4679.334473,44,4607.01,13.983,2.8645,1.1619
16,9058.954102,44,8968.04,29.9,4.4593,1.1587
32,17557.220703,44,17436.9,59.614,4.0131,1.166
64,31766.382812,43,31632.3,73.413,4.3879,1.1637
128,58598.46875,43,58417.7,118.17,4.0725,1.1546
256,113038.390625,44,112785,192.82,4.1946,1.147
512,223452.59375,43,223083,308.91,4.39,1.1571
1024,454699.75,46,454131,503.28,4.5073,1.1719
2048,827991.3125,44,827144,781.81,4.1979,1.1565
4096,1498485.75,44,1.50E+06,1273.15,4.2151,1.1668
8192,2578253,48,2.60E+06,2012.51,4.3179,1.2836
16384,4260927,45,4.30E+06,3049.28,4.2578,1.1722
