num_vertices_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,444.86438,8,423.69,4.5504,1.4986,0.48928
2,676.9599,8,652.7,8.6395,1.1086,0.4808
4,1188.446289,9,1155.54,15.942,1.6148,0.47862
8,2124.638428,10,2075.86,30.592,1.7345,0.50573
16,3329.314941,8,3273.13,40.192,1.2831,0.47465
32,5962.381836,8,5883.39,62.595,1.4923,0.50266
64,11350.974609,8,11235,97.958,1.4287,0.4768
128,22621.154297,8,22438.2,165.37,1.7382,0.48653
256,42827.320312,8,42524.6,285.83,1.6999,0.48006
512,73622.773438,8,73107,495.15,1.9234,0.47862
1024,126493.890625,8,125651,825.15,1.7606,0.47504
2048,212862.125,8,211477,1366.36,1.6987,0.47507
4096,346859.21875,9,344722,2117.21,1.9075,0.48796
8192,582289.8125,9,579036,3231.82,1.7083,0.47568
