num_vertices,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
32,76.084259,0,643.65,178850,28353,14978
64,6.94336,0,1.2056,238750,31648,15330
128,7.087936,0,2.7969,318050,31456,17503
256,9.498112,0,7.277,493630,45828,24222
512,18.043743,0,15.2,714970,45567,31392
1024,41.009888,0,33.075,1.3512,59680,45407
2048,61.012417,0,56.185,1.3587,115620,57980
4096,109.113983,3,91.742,1.5128,227010,94913
8192,214.469574,8,199.59,1.6097,458690,171580
16384,467.721558,19,438.03,1.9155,1.3614,533500
32768,1166.911743,44,1.10553,2.8961,2.7712,1.1504
65536,2942.180664,99,2.80725,8.5304,7.065,2.3301
