num_vertices,t_total,t_cpu,t_min_from_cluster_kernel,t_min_to_cluster_kernel,t_DtoH,t_HtoD
512,48.850464,0,26.975,9.7246,0.86428,0.10189
1024,174.981537,6,111.90,39.940,5.2614,0.80662
2048,396.883667,26,236.09,71.347,27.518,3.3975
4096,1041.060181,101,544.31,140.85,120.19,13.647
8192,2963.406494,387,1281.47,294.25,487.40,55.001
16384,9542.746094,1614,3284.35,696.84,1952.57,219.86
