num_vertices,t_total,t_cpu,t_min_from_cluster_kernel,t_min_to_cluster_kernel,t_DtoH,t_HtoD
2048,677.266174,5,499.86,157.70,3.7902,1.2569
4096,1261.675537,13,1007.04,215.55,7.7815,2.6329
8192,2318.323975,28,1963.51,281.39,25.376,5.3608
16384,4634.119629,58,4131.48,357.65,46.699,10.786
32768,10968.557617,117,10197.1,497.30,90.767,21.093
65536,28000.052734,253,25387.4,2028.54,202.00,42.667
