num_vertices,t_total,t_cpu,t_min_from_cluster_kernel,t_min_to_cluster_kernel,t_DtoH,t_HtoD
2048,1324.591919,8,737.26,345.92,8.5466,1.9717
4096,1967.547363,19,1456.61,457.99,17.473,3.9686
8192,3630.846680,38,2934.67,595.98,34.248,7.9297
16384,6928.335449,76,6004.47,730.90,64.421,16.008
32768,17091.558594,156,15615.9,1020.45,137.02,32.245
65536,43109.433594,320,38076.0,4215.82,305.44,64.520
