num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,113793.90625,406,70187.3,42421.9,457.98,109.3
2,222603.65625,446,138465,82819.8,535.86,111.63
4,439184.625,398,271362,166630,474.49,108.74
8,842661.75,407,512536,328827,529.95,108.91
16,1249297.5,413,763284,484751,522.87,108.2
32,1933962.25,407,1.30E+06,663046,519.51,108.71
64,3225812.25,433,2.30E+06,957627,525.81,110.26
128,5832322.5,544,4.20E+06,1.60E+06,481.94,108.9
