num_vertices,t_total,t_cpu,t_min_from_cluster_kernel,t_min_to_cluster_kernel,t_DtoH,t_HtoD
2048,1324.591919,8,181.15,11.046,8.5466,1.9717
4096,1967.547363,19,347.67,20.730,17.473,3.9686
8192,3630.846680,38,690.47,52.535,34.248,7.9297
16384,6928.335449,76,1571.13,85.726,64.421,16.008
32768,17091.558594,156,4009.96,169.31,137.02,32.245
65536,43109.433594,320,10319.1,397.72,305.44,64.520
